Dataset,Max_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Min_Gini_Index
ACSF1,0.8696725316004139,0.30836374602702854,0.3202367735092593,0.005303772705957499
Adiac,0.6587770456776345,0.30299969898163315,0.30474452418336206,0.03513336676481549
ArrowHead,0.49336810427947597,0.31780842930819103,0.3716834856210953,0.02188990001858715
BME,0.7862575040861094,0.24421798755317575,0.201970809579766,0.019786084916135316
Beef,0.655513555916209,0.34680353180154333,0.33490858948379426,0.018066257354629744
BeetleFly,0.5167670098046979,0.3091933527623212,0.3198748368276521,0.03525812457436017
BirdChicken,0.5127651070083494,0.30144620171794884,0.34230051269432377,0.03725521567718948
CBF,0.5953619781651025,0.4357688717674879,0.435093420634713,0.2522061679072518
Car,0.5466634338620042,0.2526967310498556,0.26795528740272895,0.012192208337834298
Chinatown,0.600889208264576,0.4489675823265513,0.44871803784644065,0.26224012577134825
ChlorineConcentration,0.905218487354446,0.43091661274845955,0.4259777381245955,0.07664903070220463
CinCECGTorso,0.8789788078442944,0.3928498823277309,0.4039329311109982,0.009920347482207492
Coffee,0.5439492317501651,0.3657928856526111,0.39131473493702057,0.053930667166870006
Computers,0.9242623123186351,0.4401693282252665,0.43846707976147264,0.03981853894393872
CricketX,0.827943239331258,0.45452802510678575,0.45921785276720817,0.07374090296397129
CricketY,0.793886975935597,0.4498158649839846,0.45860475132114964,0.07100534465362318
CricketZ,0.8486819197082175,0.47820599200669034,0.48465521061412264,0.09978999872129846
Crop,0.6786689769237173,0.21404216079230295,0.1898271870487745,0.013229717444967704
DiatomSizeReduction,0.46408475109269576,0.2599220407524412,0.28335520753769394,0.018815351955151716
DistalPhalanxOutlineAgeGroup,0.6056852043094592,0.3659441077852571,0.3614902047303982,0.0856645545054987
DistalPhalanxOutlineCorrect,0.6589102775764398,0.36174432764922243,0.36614716629178345,0.09258544319771356
DistalPhalanxTW,0.6060817537334449,0.3743087602838963,0.3678830629085532,0.05362663876374629
ECG200,0.700772955469412,0.44838487190203186,0.4564854161011819,0.12020544374191267
ECG5000,0.7881441248400505,0.4644772315160837,0.47461499827642195,0.059918391999204124
ECGFiveDays,0.8399380609102003,0.5491927134576071,0.5479574269264789,0.1556608863050103
EOGHorizontalSignal,0.8910873500040082,0.7121586735607365,0.739795191566677,0.2863917037823932
EOGVerticalSignal,0.8608574433132634,0.6825119418071666,0.7104212626724522,0.18917048154888505
Earthquakes,0.8410046686392466,0.47156590144218063,0.45324069403906997,0.2939065361372373
ElectricDevices,0.9213754142753747,0.47050318622631004,0.4499359800306322,0.04280288443221669
EthanolLevel,0.6079730641793022,0.1757476417297095,0.15132691265870118,0.0044505130013650085
FaceAll,0.6449749171965697,0.45411435194309013,0.4524721719099663,0.15709221208265767
FaceFour,0.6535451749243997,0.47718755914817923,0.48111717859082703,0.2498730563850935
FacesUCR,0.7111053136917185,0.4672114391741979,0.4578352314307847,0.18383230827092156
FiftyWords,0.7727466941671925,0.3928864245465834,0.41339679828231307,0.0023584640700266
Fish,0.5046014998838072,0.2671913873167247,0.2926988499403473,0.005839687559449747
FordA,0.6415810213011529,0.4056502531829239,0.4079985360579673,0.09041156011993223
FordB,0.6435001634889344,0.41142025792685905,0.41226843558528603,0.16644170325458107
FreezerRegularTrain,0.8845857565689728,0.3661531699692155,0.321682285473454,0.03939312220350932
FreezerSmallTrain,0.9066012522936595,0.3231521715023631,0.2568636126263261,0.037216487061861425
Fungi,0.8799651537102492,0.7322426354418784,0.7496373842814485,0.32250146925583345
GunPoint,0.8092696606298078,0.3278060139393471,0.2833490371198066,0.06731564223748987
GunPointAgeSpan,0.8431636879685768,0.686510232843146,0.6967794339187834,0.41945120082626586
GunPointMaleVersusFemale,0.8676025439933956,0.6811672194480718,0.6924893125686005,0.4317914676235438
GunPointOldVersusYoung,0.8468523984663758,0.6762582001619435,0.6825366195330436,0.4241990149995798
Ham,0.7538089948196259,0.4762469132429089,0.4862479177129354,0.09299555385693414
HandOutlines,0.5070120165322933,0.15964639208150813,0.10128440928743632,0.003665714552744781
Haptics,0.8096385123553788,0.3082359124735515,0.2870208756994739,0.03037849464553366
Herring,0.47678612663696684,0.2773124614534837,0.314942456457911,0.014779263491991101
HouseTwenty,0.9219859453485476,0.7922429359210459,0.8001156655997341,0.5287540143168585
InlineSkate,0.618921085678711,0.16757746569098267,0.12378832274295859,0.009858771685539836
InsectEPGRegularTrain,0.6693261755933133,0.047340518953193536,0.021513240126339983,0.0014456368666585506
InsectEPGSmallTrain,0.7209538868709378,0.05120979881860801,0.017970784616674895,0.002335453179310387
InsectWingbeatSound,0.8903127332080951,0.445729981790761,0.4513281539639735,0.06676316723652453
ItalyPowerDemand,0.6700080300053425,0.40467279390333677,0.4029442807387057,0.16822050935231037
LargeKitchenAppliances,0.9491540262203758,0.41743316368340183,0.39290990939076775,0.037515975472336094
Lightning2,0.8913881113255908,0.46332971112675714,0.46020142059687685,0.10031402877176099
Lightning7,0.9113430683971557,0.4794269732598173,0.4736950377364314,0.06260469404351365
Mallat,0.6853389922956282,0.34702344760227294,0.3637687164049639,0.013989799286023508
Meat,0.692804848987029,0.3001996432950771,0.23703783599767558,0.03687938759812337
MedicalImages,0.8966739799193797,0.4518057537765981,0.43760239428417746,0.004484602489564171
MiddlePhalanxOutlineAgeGroup,0.5656569993901003,0.35799255771203786,0.36719217797800313,0.055657094244493166
MiddlePhalanxOutlineCorrect,0.5891947503598928,0.3727678876749368,0.374906889915966,0.1180888575571184
MiddlePhalanxTW,0.5867253151929722,0.3709374890289073,0.37583574581736834,0.08433211332992174
MixedShapesRegularTrain,0.562921104347311,0.2668344228930679,0.29256999975576836,0.00815449501561094
MixedShapesSmallTrain,0.6188205925073934,0.25254160682810933,0.2757583220433772,0.005293927414815602
MoteStrain,0.8402260647171088,0.46637902038426865,0.47157370546155924,0.03918103619228441
NonInvasiveFetalECGThorax1,0.7947025074082027,0.39043212928044085,0.3652992016438981,0.03395292636001668
NonInvasiveFetalECGThorax2,0.8392610035057191,0.38889322616671046,0.40159725866339757,0.03284686339943965
OSULeaf,0.4864773397323048,0.33381597599770085,0.35733760565468264,0.04547237729450493
OliveOil,0.7344359366719829,0.37217627162368977,0.3713799084381749,0.02779974382491268
PhalangesOutlinesCorrect,0.6222995283631623,0.3702276329496267,0.3750729236290157,0.0987407589133602
Phoneme,0.871816709681899,0.4560311333137931,0.45513347361248263,0.021803559798445393
PigAirwayPressure,0.6991493909392017,0.3302286814764573,0.3413060002537228,0.011572734549241792
PigArtPressure,0.7162814607968028,0.46155710867784444,0.46917210381318963,0.1563117456325448
PigCVP,0.7401268690980737,0.38795487273905294,0.3918552578378729,0.09754968754877069
Plane,0.5218445563417826,0.3422686196934275,0.34579305985536885,0.026582824299872687
PowerCons,0.784806485841516,0.42667985713054957,0.4327340814833154,0.02383558716770917
ProximalPhalanxOutlineAgeGroup,0.5351517367253191,0.37503965375556725,0.3821645281732161,0.089399212613674
ProximalPhalanxOutlineCorrect,0.5577296450316083,0.3594912206147169,0.3728573428667678,0.050780221190903196
ProximalPhalanxTW,0.5882963384860536,0.36977730454849506,0.37708035899189907,0.09502577997194717
RefrigerationDevices,0.9322369552452069,0.4393900865317881,0.42481381944720875,0.04112741909065587
Rock,0.7598446326598047,0.5030925800928787,0.5499681638776039,0.040721426174948894
ScreenType,0.9677806488794201,0.44402637260166056,0.44075244243023987,0.026417971283457686
SemgHandGenderCh2,0.6878808309621541,0.497915832388177,0.488553869013848,0.4181292601447446
SemgHandMovementCh2,0.6931106401815146,0.4949050665991141,0.48570232701450167,0.4205273748550762
SemgHandSubjectCh2,0.7007547798049105,0.4939535398234171,0.4845498105561883,0.419892081413922
ShapeletSim,0.455690821822339,0.40341486759720524,0.4034727277833163,0.35681947267704694
ShapesAll,0.5887758328392532,0.29748556636697715,0.3277967277700797,0.013732795677648402
SmallKitchenAppliances,0.9729853711358769,0.478079500904833,0.4592641564427752,0.034691313919496536
SmoothSubspace,0.5973965438146569,0.36264593711172044,0.36481710554520463,0.07833406180156055
SonyAIBORobotSurface1,0.5911734916952742,0.44521627861691004,0.44945627424863815,0.2625378230920632
SonyAIBORobotSurface2,0.6349298097285143,0.47595325828644724,0.48181997707079094,0.23832471007763667
StarLightCurves,0.7873738843207975,0.19811169716133598,0.147759048226073,0.004111880394329637
Strawberry,0.6982290599610591,0.3690999888798231,0.372972510075262,0.06703106282743498
SwedishLeaf,0.5835943464107953,0.36145170908005,0.37314093144209115,0.07350960149945363
Symbols,0.6042808654416874,0.2363063200068952,0.23248831399163167,0.0034919829592103824
SyntheticControl,0.5837503747538597,0.39649735586764073,0.3971927476595327,0.17444315387561327
ToeSegmentation1,0.6425391114272592,0.415760570533981,0.42626990577251456,0.08800135528095943
ToeSegmentation2,0.6345607093508333,0.3941036752447774,0.4111231228499038,0.030555616797128593
Trace,0.8019534113254995,0.3156708504786238,0.25604278916917783,0.029803963043786075
TwoLeadECG,0.6257112270586658,0.4259363517184185,0.450261008879698,0.07788116488705144
TwoPatterns,0.7334841374632816,0.47378035225505655,0.4737284562698123,0.23608844631678638
UMD,0.8397209430654142,0.2955379336472486,0.2499973585442944,0.021523623969789574
UWaveGestureLibraryAll,0.847417392817681,0.3689140132833151,0.3985110349848712,0.022155146091549338
UWaveGestureLibraryX,0.7726077807985892,0.28567312544694917,0.30055802314717067,0.0025262852365606214
UWaveGestureLibraryY,0.8839717913806426,0.28786774101566615,0.30956563171607687,0.0018450457454251001
UWaveGestureLibraryZ,0.8361960377306024,0.2961678228884122,0.3189908569532712,0.008071582248568188
Wafer,0.9040800377559268,0.4431973254574908,0.4322180727713456,0.09250895543286197
Wine,0.6438325348158911,0.4034468545141053,0.4088524677857819,0.04941294348297731
WordSynonyms,0.7135458046540366,0.358602374192099,0.3803286816817616,0.005684895031648041
Worms,0.8550319869654344,0.3201240085472678,0.361726804933175,9.450971254509888e-05
WormsTwoClass,0.668242102087795,0.3136489267891314,0.35741297022399066,0.00014388322281932986
Yoga,0.5460411947087014,0.28905266269152247,0.31529488393439403,0.014884081589420783
