Dataset,Max_Sparsity_PPVs,Mean_Sparsity_PPVs,Median_Sparsity_PPVs,Min_Sparsity_PPVs
SyntheticControl,60.0,3.3705734753510375,2.0,1.0
ToeSegmentation1,277.0,5.954359378892362,1.9605263157894735,1.0
ToeSegmentation2,343.0,10.21850411014215,1.96,1.0
Trace,275.0,22.76666675927762,1.9927536231884058,1.0
TwoLeadECG,82.0,4.781763000755585,2.0,1.0
TwoPatterns,128.0,2.6215038621520868,1.9500000000000002,1.0
UMD,150.0,11.794902786291678,2.0833333333333335,1.0
UWaveGestureLibraryAll,944.9999999999999,14.913825981577672,1.9894736842105263,1.0
UWaveGestureLibraryX,315.0,23.53163761067464,2.032258064516129,1.0
UWaveGestureLibraryY,315.0,28.594377579227885,2.017543859649123,1.0
UWaveGestureLibraryZ,315.0,28.013755538451907,2.019230769230769,1.0
Wafer,152.0,4.502023592464042,1.9487179487179485,1.0
Wine,233.99999999999997,6.7793152497720435,2.1272727272727274,1.0
WordSynonyms,270.0,10.427649546452486,2.0689655172413794,1.0
Worms,900.0,40.65694701238647,1.9593277388152717,1.0
WormsTwoClass,900.0,48.02445000236109,1.956521739130435,1.0
Yoga,426.0,35.416966893403135,2.0103092783505154,1.0
