Dataset,Max_S_k,Mean_S_k,Median_S_k,Min_S_k
Strawberry,1.0,-0.0024939053017414827,0.0060046510013538335,-1.0
SwedishLeaf,0.9731428571428571,0.0019064671388835908,0.0006004464285718214,-0.998
Symbols,0.8652631578947367,-0.003904087323764954,-0.006733668341708465,-0.9890909090909091
SyntheticControl,0.1283333333333334,6.990452794117266e-05,-0.0002516619183288715,-0.17833333333333334
ToeSegmentation1,0.3324324324324326,0.00015618575860674378,0.0010830324909746336,-0.3355555555555555
ToeSegmentation2,0.45238095238095233,9.937875923012767e-05,0.00016196954972480526,-0.32996632996633
Trace,0.959259259259259,0.0011101695861520159,-0.0026181818181816863,-0.9957894736842106
TwoLeadECG,1.0,-0.0015216326048976484,-0.0031813361611875424,-1.0
TwoPatterns,0.054750000000000076,-6.798556422432376e-05,-6.249999999996536e-05,-0.05974999999999997
UMD,0.34259259259259256,0.00017099991302905516,0.0005446623093680047,-0.35185185185185186
UWaveGestureLibraryAll,0.25107473544973535,0.0006132762574921649,0.00029897186147198607,-0.20315126050420151
UWaveGestureLibraryX,0.2723214285714286,0.0010037235223140232,-9.212018140586364e-05,-0.280092592592592
UWaveGestureLibraryY,0.36607142857142905,0.00022483464812165225,-8.503401360593354e-05,-0.25272817460317476
UWaveGestureLibraryZ,0.2806712962962956,0.0003513895088761335,-0.001316609977323746,-0.24321603641456557
Wafer,0.4305000000000001,-0.0007575750566713208,0.00045682565789439966,-0.5017499999999999
Wine,1.0,-0.00492393948213236,-0.0037470031556369188,-1.0
WordSynonyms,0.707615480649189,0.0006880361419040582,0.002572442341809311,-0.8701622971285893
Worms,0.14117476010468155,-7.803593273957843e-05,-9.387149580480925e-05,-0.17600631412786094
WormsTwoClass,0.10828729281767924,7.18584900898428e-05,-5.466479077959052e-05,-0.09821976672805388
Yoga,0.8666666666666663,0.000548822887927656,0.0003286384976519674,-0.88
