Dataset,Max_PPV,Mean_PPV,Median_PPV,Min_PPV
ACSF1,0.9713740458015268,0.5045687770356659,0.5,0.013513513513513514
Adiac,1.0,0.4956885827155885,0.5,0.0
ArrowHead,1.0,0.4952816683254886,0.49800796812749004,0.0
BME,1.0,0.4998940814064315,0.5,0.0
Beef,1.0,0.5022744544152267,0.5,0.0
BeetleFly,1.0,0.4993985280407853,0.5,0.0
BirdChicken,1.0,0.4981378852358908,0.5,0.0
CBF,1.0,0.4992718038868445,0.5,0.0
Car,1.0,0.5036157746403225,0.49913344887348354,0.0
Chinatown,1.0,0.4997702380952382,0.5,0.0
ChlorineConcentration,1.0,0.5012611647293311,0.5,0.0
CinCECGTorso,1.0,0.49991452067644904,0.5003050640634533,0.0
Coffee,1.0,0.5043167793630412,0.5040650406504065,0.0
Computers,1.0,0.4964652829065839,0.5,0.0
CricketX,1.0,0.5001030552745662,0.5,0.0
CricketY,1.0,0.5008178535640774,0.5,0.0
CricketZ,1.0,0.49914244295525634,0.5,0.0
Crop,1.0,0.49732539374088264,0.5,0.0
DiatomSizeReduction,1.0,0.5003176727202004,0.5014492753623189,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.4992643407400981,0.5,0.0
DistalPhalanxOutlineCorrect,1.0,0.4927237790038757,0.5,0.0
DistalPhalanxTW,1.0,0.49936213949521874,0.5,0.0
DodgerLoopDay,1.0,0.47690342826581267,0.4930555555555556,0.0
DodgerLoopGame,1.0,0.4825774068138324,0.4958158263305322,0.0
DodgerLoopWeekend,1.0,0.48884334772720084,0.4965277777777778,0.0
ECG200,1.0,0.4991675130853112,0.5,0.0
ECG5000,1.0,0.49838458652011347,0.5,0.0
ECGFiveDays,1.0,0.4990242831869982,0.5,0.0
EOGHorizontalSignal,1.0,0.49916751887928584,0.5008,0.0
EOGVerticalSignal,1.0,0.49976994289045884,0.5,0.0
Earthquakes,1.0,0.49406828769098693,0.49158483618166365,0.0
ElectricDevices,1.0,0.5003477247209064,0.5,0.0
EthanolLevel,1.0,0.49993795537597535,0.4933641084824005,0.0
FaceAll,1.0,0.5001233571327902,0.5038167938931297,0.0
FaceFour,1.0,0.5012443726730276,0.5,0.0
FacesUCR,1.0,0.5004806162414667,0.5038167938931297,0.0
FiftyWords,1.0,0.502550983246472,0.5037037037037037,0.0
Fish,1.0,0.5000517476020753,0.5010799136069114,0.0
FordA,1.0,0.4999160083800798,0.5,0.0
FordB,1.0,0.5000132944632437,0.5,0.0
FreezerRegularTrain,1.0,0.4923535509886247,0.49829351535836175,0.0
FreezerSmallTrain,1.0,0.4999822407308578,0.4948805460750853,0.0
Fungi,1.0,0.5029279283562933,0.5032679738562091,0.0
GunPoint,1.0,0.504182980024148,0.5,0.0
GunPointAgeSpan,1.0,0.49831966462227617,0.5,0.0
GunPointMaleVersusFemale,1.0,0.49694170676723104,0.5,0.0
GunPointOldVersusYoung,1.0,0.4972183424926919,0.5,0.0
Ham,1.0,0.5006214104771782,0.4988179669030733,0.0
HandOutlines,1.0,0.5018483845925065,0.5001845699520118,0.0
Haptics,1.0,0.5039582141720147,0.5018621973929237,0.0
Herring,1.0,0.4980079565296553,0.5,0.0
HouseTwenty,1.0,0.5016883265155305,0.501,0.0
InlineSkate,1.0,0.4994156467366345,0.4980119066022092,0.0
InsectEPGRegularTrain,1.0,0.5032644905813928,0.5008431703204047,0.0
InsectEPGSmallTrain,1.0,0.501508251669874,0.4991638585550693,0.0
InsectWingbeatSound,1.0,0.5044189117415501,0.50390625,0.0
ItalyPowerDemand,1.0,0.49833333333333335,0.5,0.0
LargeKitchenAppliances,1.0,0.4928568862207133,0.4879843786093786,0.0
Lightning2,1.0,0.4972870597404332,0.4939094615313959,0.0
Lightning7,1.0,0.4990237361487784,0.5015673981191222,0.0
Mallat,1.0,0.5035680701544556,0.5025095090556437,0.0
Meat,1.0,0.5057659526148518,0.5089285714285714,0.0
MedicalImages,1.0,0.5028891171562384,0.5050505050505051,0.0
MelbournePedestrian,1.0,0.5013220634920635,0.5,0.0
MiddlePhalanxOutlineAgeGroup,1.0,0.5024341771000185,0.5,0.0
MiddlePhalanxOutlineCorrect,1.0,0.49847097900870097,0.5,0.0
MiddlePhalanxTW,1.0,0.49693563848443534,0.5,0.0
MixedShapesRegularTrain,1.0,0.5023873156243425,0.5,0.0
MixedShapesSmallTrain,1.0,0.5011606659891091,0.5,0.0
MoteStrain,1.0,0.5022604802591001,0.5,0.0
NonInvasiveFetalECGThorax1,1.0,0.4920084431598693,0.492,0.0
NonInvasiveFetalECGThorax2,1.0,0.503921147009946,0.5063829787234042,0.0
OSULeaf,1.0,0.5007880429498933,0.49882903981264637,0.0
OliveOil,1.0,0.5007289028039857,0.5017543859649123,0.0
PhalangesOutlinesCorrect,1.0,0.5030157254640931,0.5,0.0
Phoneme,1.0,0.5005822882505625,0.5,0.0
PigAirwayPressure,1.0,0.5003017567862491,0.5,0.0
PigArtPressure,1.0,0.5031482790745215,0.503,0.0
PigCVP,1.0,0.49933870050659823,0.4994969818913481,0.0
Plane,1.0,0.49956306299503983,0.5,0.0
PowerCons,1.0,0.5001052965250258,0.5,0.0
ProximalPhalanxOutlineAgeGroup,1.0,0.5078366718611608,0.5,0.0
ProximalPhalanxOutlineCorrect,1.0,0.5017047858653177,0.5,0.0
ProximalPhalanxTW,1.0,0.5004112578453278,0.5,0.0
RefrigerationDevices,1.0,0.5012933918609301,0.5,0.0
Rock,1.0,0.5011133245483244,0.5007032348804501,0.0
ScreenType,1.0,0.5006135000125087,0.5,0.0
SemgHandGenderCh2,1.0,0.498742061307222,0.49933333333333335,0.0
SemgHandMovementCh2,0.9574468085106383,0.5028918941298569,0.5008130081300813,0.0
SemgHandSubjectCh2,0.9928571428571429,0.49806411323713917,0.49933333333333335,0.0
ShapeletSim,0.7222222222222222,0.5000951345593767,0.5,0.2
ShapesAll,1.0,0.49946431840451444,0.5,0.0
SmallKitchenAppliances,1.0,0.4884839571638703,0.49027777777777776,0.0
SmoothSubspace,1.0,0.5001648253968254,0.5333333333333333,0.0
SonyAIBORobotSurface1,1.0,0.49786468250512905,0.5,0.0
SonyAIBORobotSurface2,1.0,0.5012797087065016,0.5076923076923077,0.0
StarLightCurves,1.0,0.4976793094399009,0.498046875,0.0
Strawberry,1.0,0.5111605396386828,0.5028571428571429,0.0
SwedishLeaf,1.0,0.5046368968719935,0.5,0.0
Symbols,1.0,0.5058370726968495,0.5,0.0
SyntheticControl,1.0,0.5001567278727445,0.5,0.0
ToeSegmentation1,1.0,0.49850978268770485,0.4981949458483754,0.0
ToeSegmentation2,1.0,0.49716109773697736,0.49854227405247814,0.0
Trace,1.0,0.49932764862402423,0.49454545454545457,0.0
TwoLeadECG,1.0,0.5000888962195087,0.5,0.0
TwoPatterns,1.0,0.49987102817341705,0.5,0.0
UMD,1.0,0.4996083191021042,0.5,0.0
UWaveGestureLibraryAll,1.0,0.49976548576977137,0.49947089947089945,0.0
UWaveGestureLibraryX,1.0,0.4995171185526011,0.4984126984126984,0.0
UWaveGestureLibraryY,1.0,0.5003793972978957,0.5015873015873016,0.0
UWaveGestureLibraryZ,1.0,0.49884114840316546,0.4984126984126984,0.0
Wafer,1.0,0.5024764817024086,0.5,0.0
Wine,1.0,0.49956069747365267,0.49572649572649574,0.0
WordSynonyms,1.0,0.4976848631287408,0.4962962962962963,0.0
Worms,1.0,0.4998852166564312,0.5,0.0
WormsTwoClass,1.0,0.4999563842810793,0.5,0.0
Yoga,1.0,0.5012374161480885,0.5,0.0
