Dataset,Max GI,Median GI,Min GI,Max S,Median S,Min S,Mean S,Max PPV,Median PPV,Min PPV,Mean PPV
ACSF1,0.6887655858040748,0.3527938461713317,0.03677007924356337,0.3923630136986298,0.00029109589041098616,-0.36888698630136996,0.010709315068493147,0.8433219178082192,0.5,0.13184931506849315,0.5053546575342466
Adiac,0.5999825558855415,0.2812576780347694,0.02640457234748906,0.6261466233297217,-0.009913326110509213,-0.6120260021668473,-0.07854391477067534,0.9295774647887324,0.4859154929577465,0.028169014084507043,0.4607280426146621
ArrowHead,0.45448076509085145,0.31221441531541244,0.07317411144073281,0.3836373687119954,0.008291873963515828,-0.35185185185185186,0.05847567716970707,0.7960199004975125,0.5074626865671642,0.208955223880597,0.5292378385848535
BME,0.7976789320996464,0.30043580113695,0.044339831625022946,0.10833333333333361,0.0012820512820512775,-0.06987179487179518,0.0026583333333333355,1.0,0.5,0.028846153846153848,0.5013291666666666
Beef,0.6739009693872094,0.4849285866489157,0.263187187713601,0.2822695035460996,0.005673758865248235,-0.17269503546099307,0.009952482269503534,0.7367021276595744,0.5053191489361702,0.2845744680851064,0.5049762411347518
BeetleFly,0.5875034387517822,0.33113489776996297,0.13375006354640157,0.12024390243902427,-0.0035365853658536617,-0.1275609756097561,-0.009728292682926824,0.7073170731707317,0.4975609756097561,0.1902439024390244,0.4951358536585366
BirdChicken,0.5573615705215145,0.3622215709016665,0.1755931329434869,0.2524390243902439,-0.003170731707317076,-0.18195121951219506,-0.02362560975609754,0.748780487804878,0.4951219512195122,0.25609756097560976,0.4881871951219512
CBF,0.5321125538400326,0.34518745830169895,0.076403031289804,0.3826923076923079,-0.0051282051282051655,-0.16474358974358982,-0.00575192307692308,0.9134615384615384,0.5,0.0,0.49712403846153846
Car,0.6513190506648586,0.38427582605237876,0.12293697630216498,0.39186465082793376,-0.020914326853851695,-0.34211663066954645,-0.03927516198704105,0.7645788336933045,0.48596112311015116,0.23326133909287258,0.48036241900647947
Chinatown,0.5092178548125859,0.1474151297414079,0.0024947630231592355,1.0,0.12,-1.0,0.16681999999999997,1.0,0.55,0.0,0.58341
ChlorineConcentration,0.5473409302556693,0.33983450763072415,0.11573342420631849,0.5919652273962097,-0.03188021349356007,-0.5961200421873503,-0.05007926108216946,0.9477611940298507,0.47761194029850745,0.0,0.4749603694589153
CinCECGTorso,0.8489364678486204,0.7666138289175295,0.31038296069444393,0.07532368621477525,-0.00019040365575023754,-0.025019040365575007,0.0037594821020563553,0.8073115003808073,0.5003808073115004,0.18888042650418888,0.5018797410510282
Coffee,0.5700647284136421,0.3968052628684158,0.2041511636642749,0.5198757763975155,0.00031055900621113075,-0.2543478260869565,0.016604037267080738,0.7782608695652173,0.5,0.26521739130434785,0.5083020186335404
Computers,0.830059096895005,0.7022059506625624,0.44186638175523946,0.2649583333333332,-0.2180277777777777,-0.5152083333333334,-0.20117994444444445,0.8871527777777778,0.46875,0.0,0.3994100277777778
CricketX,0.6088807095432506,0.45168758996087377,0.25129671849595886,0.07916666666666661,-0.0020085470085471346,-0.11551282051282041,-0.016485491452991462,0.9041666666666667,0.49583333333333335,0.10833333333333334,0.49175725427350425
CricketY,0.5961903400361803,0.47202428374188954,0.2842645074226054,0.1447435897435898,-0.0008119658119658535,-0.062371794871795005,0.008087329059829052,0.8958333333333334,0.5,0.15833333333333333,0.5040436645299146
CricketZ,0.6177013237629684,0.4569309435150657,0.24582101268758716,0.09647435897435908,-0.0018162393162393653,-0.1266452991452991,-0.01643863247863249,0.8958333333333334,0.49583333333333335,0.12083333333333333,0.49178068376068385
Crop,0.4993745044844974,0.25840324659837177,0.007562593789625323,0.9929166666666667,0.029433479532163798,-0.9928070175438597,0.23859732456140353,1.0,0.5526315789473685,0.0,0.6192986622807023
DiatomSizeReduction,0.6011827079859935,0.3587040740268817,0.06315674208021785,0.5676895306859207,-0.008348375451263601,-0.5780685920577617,-0.08043321299638989,0.8483754512635379,0.49097472924187724,0.1371841155234657,0.45978339350180497
DistalPhalanxOutlineAgeGroup,0.637357464132328,0.26713962098449023,0.02277611436600845,0.9788281249999999,0.07546874999999997,-0.566015625,0.08933851562500002,1.0,0.546875,0.1875,0.5446692578125
DistalPhalanxOutlineCorrect,0.610799719836993,0.2650113543178392,0.02280231089613237,0.9761458333333333,0.07622395833333329,-0.5655208333333333,0.08970520833333333,1.0,0.546875,0.1875,0.5448526041666667
DistalPhalanxTW,0.6372828663983082,0.2668024322809134,0.022767801826286693,0.9786718750000001,0.07539062499999993,-0.565625,0.089681796875,1.0,0.546875,0.1875,0.5448408984375
DodgerLoopDay,,,,0.35775862068965525,-0.12555260831122916,-0.45103890362511057,-0.10309449602122016,0.8663793103448276,0.4870689655172414,0.0,0.44845275198939
DodgerLoopGame,,,,0.3374999999999999,-0.1411637931034483,-0.44439655172413794,-0.11574396551724138,0.8448275862068966,0.4870689655172414,0.0,0.44212801724137923
DodgerLoopWeekend,,,,0.41724137931034466,-0.09482758620689652,-0.39698275862068955,-0.06974741379310345,0.8448275862068966,0.49137931034482757,0.0,0.46512629310344816
ECG200,0.5843194742588363,0.31867452074324387,0.05783497590975989,0.2689743589743592,-0.0062820512820513374,-0.677948717948718,-0.01840820512820513,0.782051282051282,0.5,0.0,0.4907958974358974
ECG5000,0.6337735854411128,0.36030605441008573,0.11611358450078017,0.3519285714285716,0.018821428571428656,-0.4234642857142856,0.012553392857142857,1.0,0.5089285714285714,0.0,0.5062766964285713
ECGFiveDays,0.8338049456051201,0.35092145461385105,0.09417598278394855,0.43794466403162047,-0.0007905138339919793,-0.3162055335968379,0.025763636363636343,1.0,0.5,0.18181818181818182,0.5128818181818182
EOGHorizontalSignal,0.7517567328244152,0.6764248386232815,0.45887100512738377,0.04791160220994484,-0.00036464088397791805,-0.12333149171270719,-0.003393353591160214,1.0,0.5,0.081,0.4983033232044198
EOGVerticalSignal,0.7226117144439331,0.6602893490674003,0.4349653000932834,0.043580110497237534,-0.0009834254143645804,-0.19001657458563537,-0.008182640883977892,1.0,0.5,0.0,0.4959086795580111
Earthquakes,0.6725086482923303,0.39514749487730516,0.25789554183382696,0.1335858203302529,-0.002696561127101871,-0.4798212392061809,-0.015255370398424468,0.8097560975609757,0.4975609756097561,0.06829268292682927,0.4923723148007878
ElectricDevices,0.71163954447633,0.3495543486654351,0.09454078052083346,0.21767581884095444,-0.036143332356641855,-0.4841919601050231,-0.07382578120960374,1.0,0.48717948717948717,0.0,0.46308710939519804
EthanolLevel,0.6916314625756911,0.5945516375801487,0.26807519569417815,0.27800720573739834,-0.0037430746745522603,-0.32525237075558266,-0.044510225122644825,0.6995003568879372,0.49464668094218417,0.28551034975017847,0.4777448874386777
FaceAll,0.49352686518861616,0.34001128022199484,0.12247069458159093,0.416156462585034,0.03151360544217685,-0.23911564625850346,0.03223217687074828,1.0,0.5142857142857142,0.0,0.5161160884353742
FaceFour,0.6278394103465071,0.40074748957911466,0.21395125070944757,0.09851190476190474,-0.004761904761904745,-0.29880952380952375,-0.008920535714285718,0.7178571428571429,0.49642857142857144,0.1357142857142857,0.49553973214285707
FacesUCR,0.5085678277361506,0.34215447255112363,0.11802856409714399,0.3946666666666665,0.009095238095238045,-0.21485714285714286,0.01930733333333333,1.0,0.5047619047619047,0.0,0.5096536666666666
FiftyWords,0.5882808351431259,0.4031640977956099,0.244151646119117,0.20168724279835404,0.0043312757201646734,-0.2551028806584362,0.002878518518518511,1.0,0.5,0.13425925925925927,0.5014392592592591
Fish,0.6595322166047807,0.3358413602669992,0.107077693144784,0.36733153638814,-0.0034809395456295578,-0.38834039276087784,-0.047762495186753955,0.7924528301886793,0.49326145552560646,0.20215633423180593,0.476118752406623
FordA,0.5890727174177527,0.39163496518240043,0.2362320140429205,0.0075617883921133,-2.152179950015709e-05,-0.005562343793390601,3.0297139683105323e-06,1.0,0.5,0.0,0.5000015148569843
FordB,0.55712061958893,0.3911742045874423,0.23984848387276447,0.0036633663366336666,8.113311331126027e-05,-0.0037321232123211923,9.893701870183891e-05,1.0,0.5,0.0,0.5000494685093512
FreezerRegularTrain,0.883066715997833,0.5872807335167187,0.2602028748386675,0.625283540802213,0.0075518672199171855,-0.26793914246196415,0.10029742738589209,0.9336099585062241,0.5062240663900415,0.0912863070539419,0.550148713692946
FreezerSmallTrain,0.8812932634908845,0.597288932482815,0.2575705857936012,0.65411973918198,0.008446947243627712,-0.2812685240071132,0.10112655601659756,0.9294605809128631,0.5062240663900415,0.21991701244813278,0.5505632780082987
